City,MCC,MNC,LAC,CID,BSC,BSIC,ARFCN,BAND,F_DL (MHz),RXLEV (dBm),RXQUAL,SNR (dB),UL Speed (kbps),DL Speed (kbps),Latitude,Longitude,Speed (m/s),Height (m),Connection Type
Ahmedabad,405,872,6476,92453,41,15,50,900 MHz,937.4302910114810,-64,1,11.75951194594660,138,816,22.94688246904150,72.63413651370260,7.436829820196720,123.64747585700300,Data
Ahmedabad,405,860,1456,46373,45,13,101,1800 MHz,941.6542183513190,-81,4,18.979554388081200,408,1401,22.966054852110200,72.65677044788980,13.914771273995200,159.3190825460370,Voice
Ahmedabad,405,862,8685,26069,28,18,9,900 MHz,950.2019951494500,-63,2,11.328228005767900,891,1538,23.04670607305310,72.50776126998150,15.94451170656350,215.55626029054600,Data
Ahmedabad,405,867,5559,28519,37,54,11,1800 MHz,951.522946399926,-105,0,21.65928780906870,282,747,22.953881775131300,72.51420949392130,0.9526525204740620,193.91225356899100,WiFi
Ahmedabad,405,865,6435,42114,26,32,112,900 MHz,956.0454498897300,-85,0,27.63867798515510,466,176,23.013819543431600,72.54117092132670,18.48388121222200,278.77546697849200,Voice
Ahmedabad,405,870,8392,17957,26,60,69,2100 MHz,946.9846712057770,-69,4,15.842725612155400,639,499,22.949057636752300,72.53935174941500,19.550855405408000,228.1078758741670,Data
Ahmedabad,405,862,6404,31476,38,12,41,1800 MHz,954.9250112476500,-109,3,7.411443059752570,736,507,23.118484600819200,72.60754689685310,11.209533134850800,155.69760868048300,Data
Ahmedabad,405,871,1060,67393,18,45,89,900 MHz,957.6305901493570,-77,3,9.106992203783800,338,794,22.982668565895600,72.57098554239470,2.01012104208264,135.5473208592020,Data
Ahmedabad,405,874,2001,34079,24,57,87,1800 MHz,954.0913035221210,-104,4,26.17589833395950,939,1939,22.943432005773800,72.644724912982,1.8721268007686100,299.7702045207840,WiFi
Ahmedabad,405,865,6667,22573,28,50,126,900 MHz,943.5896982734350,-51,0,17.967976255015900,73,562,23.067131395846600,72.61179235136360,13.804792973594900,101.62120813906500,Voice
Ahmedabad,405,863,8917,85750,36,9,127,2100 MHz,956.4025984206450,-91,2,13.124697286458600,387,1988,22.975996205366900,72.51822638860010,17.266991484109400,45.6094941175628,Voice
Ahmedabad,405,873,8757,23945,40,15,11,2100 MHz,946.1970825028160,-54,6,5.217675745389540,516,1588,23.109214110478400,72.60234991942950,12.154464304026700,176.29148524155000,WiFi
Ahmedabad,405,868,5446,30919,28,23,46,2100 MHz,943.8817456996230,-57,1,5.275339521426670,347,1894,23.012052729795600,72.52114521724960,3.3969555575527900,28.691487248536000,WiFi
Ahmedabad,405,870,6343,67990,18,35,61,900 MHz,950.932842636667,-95,5,26.3521165635924,50,161,23.110148929341100,72.60854561229100,1.5749505738800200,134.2767390272670,Voice
Ahmedabad,405,863,8715,56470,20,14,9,2100 MHz,954.7381400193000,-74,6,13.786959233543300,272,1033,22.947869618994600,72.51767199654920,4.274228558268360,104.73936590415900,Voice
Ahmedabad,405,860,6863,25347,38,21,87,900 MHz,950.8029715367540,-104,0,0.03800002499554150,578,1987,22.931741373829500,72.5626335979788,6.2910556908011,98.11939788308820,Data
Ahmedabad,405,862,3070,17056,19,48,123,2100 MHz,943.3248454702650,-92,6,2.9197541175647700,321,1617,23.11993212941810,72.48640837708270,18.764729489640900,188.70213014879100,Voice
Ahmedabad,405,867,4139,23322,22,45,123,900 MHz,952.2493253741900,-57,4,28.414053623237400,787,1952,23.07142643794870,72.66064293210900,11.349557010926400,146.0600187722620,Data
Ahmedabad,405,871,1693,23170,16,4,62,900 MHz,941.6493289097100,-54,4,16.056370355021000,714,1096,22.93772873071690,72.65728162155910,14.513212511861900,170.5382360889640,Data
Ahmedabad,405,873,4107,22210,34,24,27,2100 MHz,948.9117310091090,-99,2,21.849103260711100,719,1170,23.064004053795000,72.52904403904290,5.052045846031790,269.76524097562700,Data
Ahmedabad,405,871,7070,66538,11,9,4,900 MHz,937.3443686106420,-107,0,0.5500833002797370,589,511,23.02234352172470,72.5633920847655,16.156601626473600,297.16763112274,WiFi
Ahmedabad,405,868,1615,17048,13,37,28,900 MHz,946.4819047168610,-90,2,20.41957324792650,929,1460,23.04299454498870,72.53106068850880,9.463693657066450,78.69251617545470,WiFi
Ahmedabad,405,873,7838,88271,23,26,122,900 MHz,936.7245030048320,-107,1,10.265293390894700,183,1215,22.96271746567060,72.57145020391890,12.216699684270200,58.918367650053100,Voice
Ahmedabad,405,866,5608,24951,15,6,101,900 MHz,940.891825248198,-109,0,0.8575025964219160,497,938,23.09657785708080,72.57858970346140,5.452190531959470,127.29645359151400,WiFi
Ahmedabad,405,874,2559,29092,29,22,43,900 MHz,954.6593557057790,-52,3,24.583129879510500,324,474,23.043072476306600,72.64373692709680,7.9718953533714600,198.72388409915400,Voice
Ahmedabad,405,873,5851,58961,45,43,5,2100 MHz,959.7695688462400,-85,4,19.10521005589500,176,1167,22.98641469171520,72.47926167613190,0.05153955132309210,225.84834298047000,WiFi
Ahmedabad,405,861,3726,67458,28,48,68,1800 MHz,947.2792251675430,-80,0,13.96437672301600,728,1874,23.117086350014400,72.6626778645001,10.615497987368600,275.067857221411,Data
Ahmedabad,405,860,8450,78078,49,28,46,900 MHz,959.3589175470990,-110,5,15.754202490613500,453,340,23.056144404660900,72.58397136443300,13.279149307989700,105.6456922249340,WiFi
Ahmedabad,405,866,7538,75222,19,0,105,900 MHz,937.397862568951,-78,4,8.257205377831380,276,1387,22.97877320931700,72.61757928969030,5.439674138869530,271.9224530773260,Voice
Ahmedabad,405,868,4367,80851,21,23,119,2100 MHz,935.0371345319920,-108,1,2.3085196048121500,279,754,23.079232452845400,72.5334695043088,5.199662291213590,80.31810726023740,Voice
Ahmedabad,405,872,3277,16428,42,28,25,900 MHz,938.8962986923830,-102,4,4.839723719366580,748,1409,23.044781522308900,72.60081347736070,5.256724503785300,92.57237252753750,WiFi
Ahmedabad,405,870,1788,25607,45,18,78,900 MHz,942.0669111891140,-103,6,8.485554686977550,845,166,22.99809007735080,72.52392689556840,18.139591525213600,276.9761683412990,Voice
Ahmedabad,405,864,3305,11603,38,13,28,1800 MHz,945.6942699678010,-63,6,25.778842317454500,376,629,23.048361744567700,72.51561023242650,5.9841632517368800,207.97890695589500,WiFi
Ahmedabad,405,867,1934,65702,43,51,122,900 MHz,940.6737651176140,-51,4,24.079453771230800,562,1622,23.067519074594400,72.57799382122690,6.887300566046700,25.997798610434300,Voice
Bangalore,405,872,4287,94140,50,28,99,900 MHz,950.1472154863200,-72,2,10.95,426,777,34.489434,79.15216,8.400125009937820,0.4711823514896300,Data
Bangalore,405,874,8072,86264,5,38,124,900 MHz,950.7071079518760,-93,5,26.82,153,1342,20.945757,88.480812,14.36203163351680,54.25980492077740,WiFi
Bangalore,405,868,5797,75594,38,13,59,1800 MHz,956.191869615165,-80,5,15.29,254,1843,29.484236,86.131573,3.9440691611084400,339.49743120357700,WiFi
Bangalore,405,868,7021,55153,8,28,53,1800 MHz,945.7901800067960,-94,7,27.38,302,314,8.586223,83.661825,1.4001875126664800,251.01982370535500,WiFi
Bangalore,405,864,4357,70820,36,60,28,1800 MHz,942.4845623427210,-70,0,10.58,101,319,14.38554,86.583285,18.644805609181500,39.5134520409885,Data
Bangalore,405,868,5332,66750,9,15,75,900 MHz,943.5597065414960,-60,6,20.54,78,548,12.343484,93.16383,12.45103882422440,341.1602977104740,Data
Bangalore,405,872,1016,41886,48,36,26,1800 MHz,939.009702057165,-109,1,6.41,97,1700,25.462553,80.84834,2.009512967780450,431.5011916256010,Data
Bangalore,405,864,8870,41931,3,57,47,1800 MHz,957.0841486728510,-92,0,11.39,385,1153,8.782248,83.57009,9.214150534129140,374.9934391614420,Data
Bangalore,405,872,2305,13127,21,15,33,1800 MHz,947.6011836664840,-87,7,22.31,299,1386,9.827763,74.727413,8.6467709168788,205.78441670317600,Data
Bangalore,405,872,7492,80178,12,33,56,1800 MHz,941.6790080907220,-110,1,18.48,496,280,20.726484,92.24644,2.1036980785375900,129.77544263680300,WiFi
Bangalore,405,872,9629,87241,42,31,43,1800 MHz,949.0248232779270,-75,6,15.91,273,1374,36.387735,88.764249,9.284815253649620,53.21784190878050,WiFi
Bangalore,405,872,6811,70270,4,35,59,900 MHz,939.8021856959620,-88,7,5.47,427,1568,35.656539,70.812147,8.400940106613540,323.6756559277410,WiFi
Bangalore,405,874,4231,17606,15,4,62,1800 MHz,948.0532701861330,-76,4,27.87,52,1234,19.006639,79.282391,7.027488633106360,227.99534032535300,Data
Bangalore,405,868,2136,69778,26,0,84,900 MHz,945.1655173506740,-100,1,24.3,235,639,27.055856,89.96405,2.160578982746740,178.6567035208190,WiFi
Bangalore,405,868,3937,97887,22,14,48,1800 MHz,957.39658242369,-99,3,25.02,415,657,8.556563,71.056804,16.06971472282260,115.53770073056000,Data
Bangalore,405,874,3582,40623,9,0,85,1800 MHz,938.3173859487900,-90,4,12.17,136,1777,36.715203,87.084139,4.883793181020840,250.5270361406790,WiFi
Bangalore,405,874,6802,38093,43,29,66,900 MHz,938.4446857232500,-88,0,10.82,178,763,15.796614,90.934483,8.732376580074370,342.89252955966800,Data
Bangalore,405,864,5658,20695,11,39,36,900 MHz,953.5494534039180,-98,1,14.44,108,1920,31.135067,77.317379,18.360102265227900,417.2813475205930,Data
Bangalore,405,872,5933,25681,3,40,25,1800 MHz,935.0454767665730,-106,3,23.5,215,1700,29.131103,95.240444,12.395342089677000,466.22243554484300,Data
Bangalore,405,868,9067,34415,12,9,61,1800 MHz,957.9985222538070,-83,2,14.85,113,1797,24.051909,83.755846,17.493484064782600,387.4205390030390,Data
Bangalore,405,864,5544,95891,37,51,63,900 MHz,940.2956926224810,-69,3,24.96,428,1117,22.978417,88.866402,16.10640863225970,408.839572971579,Data
Bangalore,405,874,9734,12458,49,50,6,900 MHz,952.5809715743380,-97,6,21.26,430,818,27.98721,70.041183,3.081804246225470,388.5548217936090,Data
Bangalore,405,864,3431,68841,2,30,7,900 MHz,952.826756922698,-68,5,10.46,389,1890,32.56489,79.42598,2.372412373777670,93.62892766703060,WiFi
Bangalore,405,864,6168,36330,15,46,97,1800 MHz,938.6752413058080,-96,6,19.27,463,1622,33.353729,83.543426,13.73170538816150,14.215558469364700,WiFi
Bangalore,405,874,2725,37982,17,15,3,1800 MHz,944.1333545750500,-108,2,10.56,259,1195,28.545169,71.18858,1.3234478591189200,104.37024428516400,WiFi
Bangalore,405,864,2358,29565,28,5,23,900 MHz,939.413863711002,-63,5,29.6,239,989,29.854903,89.026336,18.663191987972500,186.80321538536200,WiFi
Bangalore,405,868,5414,49946,28,45,100,1800 MHz,954.1094588300740,-103,2,16.57,297,1014,34.600616,80.693778,16.351638016460300,462.5970402689280,WiFi
Bangalore,405,872,3760,21575,16,18,86,900 MHz,939.29507836729,-79,0,12.93,351,603,15.954381,82.795193,14.60729071966300,147.34574088029000,Data
Bangalore,405,872,8343,98253,4,6,77,900 MHz,946.034843485942,-70,6,5.48,365,1021,35.707256,80.597201,15.92135264570980,14.464887801044200,WiFi
Bangalore,405,874,9362,26076,14,9,56,1800 MHz,938.637434312552,-61,7,7.87,378,1937,14.249309,84.554315,17.419559737589100,395.0651577724510,WiFi
Bangalore,405,864,2143,71741,30,30,33,900 MHz,942.1469244440630,-94,2,7.47,293,764,35.156845,68.535178,3.6888259934686200,219.5228730614480,Data
Bangalore,405,872,5418,20517,35,1,93,900 MHz,950.9594491892680,-88,5,28.92,348,747,12.195018,78.37269,9.950837048458310,33.9561640448991,WiFi
Bangalore,405,874,6074,27099,42,45,103,900 MHz,957.6212465970210,-95,3,10.35,225,1607,27.646551,77.322272,3.920563738636750,175.93253049546000,WiFi
Bangalore,405,874,6519,17445,6,4,28,1800 MHz,941.8045925692830,-100,6,25.87,457,1099,33.235536,94.690956,17.718508172175300,365.7010753187830,WiFi
Bangalore,405,868,5066,99980,23,55,91,900 MHz,946.203703742392,-89,3,12.42,168,1041,28.680176,69.094427,9.644346674580420,331.033403077979,WiFi
Bangalore,405,872,6687,43263,1,61,6,1800 MHz,954.3712068023510,-69,4,18.71,175,1384,18.370535,87.187588,2.4908385380316800,233.31211788785200,Data
Bangalore,405,868,5760,88328,48,16,6,900 MHz,936.1081361841620,-95,2,5.62,449,599,25.922489,71.831835,5.550944801636490,16.45527066468320,WiFi
Bangalore,405,864,3353,26540,44,52,109,1800 MHz,951.0121547613740,-95,5,25.84,138,1571,20.634603,78.063227,13.167730476387500,277.7911044273100,Data
Bangalore,405,872,2404,12231,40,35,43,900 MHz,936.522354646639,-101,5,16.43,240,266,22.766179,85.256088,12.917998248135200,164.22923406696700,WiFi
Bangalore,405,872,1865,29573,21,35,17,900 MHz,939.0470138973250,-66,2,24.76,107,1317,19.997882,94.015976,19.808266926358300,120.74017875246600,WiFi
Bengaluru,405,872,2085,90417,46,51,120,2100 MHz,938.8855153159330,-92,4,12.84160484834210,570,737,13.0585596770971,77.64218297399570,9.729737756326090,50.42663247909470,Data
Bengaluru,405,861,4866,52800,23,52,83,900 MHz,941.4723195736750,-81,6,13.850638969943900,685,1967,12.891964071390500,77.56480104830650,12.512650027223300,182.107489789794,WiFi
Bengaluru,405,868,6488,76779,28,49,109,2100 MHz,958.3829677077950,-97,3,12.059795975009800,457,1954,12.950150686662000,77.52171279034760,17.53035917766220,1.8442770523818600,Voice
Bengaluru,405,863,5144,95840,15,51,17,1800 MHz,952.7466338031500,-86,5,23.95606765704320,165,300,12.917662291179000,77.69315804413570,8.18822600191561,53.29831195318370,WiFi
Bengaluru,405,867,2939,32394,49,39,72,1800 MHz,953.1119304990390,-82,3,4.447868262315080,535,629,12.902146879194500,77.62362837570850,16.58342620063590,238.71754319229700,Data
Bengaluru,405,868,2588,25945,20,3,125,1800 MHz,946.8747130767440,-101,2,1.6069706595972900,891,985,12.9336809948126,77.54092223690720,3.3918417239083000,250.98192439340900,Data
Bengaluru,405,871,6096,30834,45,29,53,2100 MHz,946.218760071954,-69,4,16.500426163920200,59,774,12.98891344933020,77.67480578993900,5.647372939942330,276.80649579723100,WiFi
Bengaluru,405,872,8305,59744,36,60,109,900 MHz,942.3419995822280,-82,5,23.984874099078300,507,371,13.004684945569600,77.63204477846130,6.545451759653010,223.69257539368200,Data
Bengaluru,405,860,4122,70568,11,53,28,2100 MHz,943.6130871370890,-86,0,17.67425152391920,228,1544,12.908479388623900,77.65172402943820,19.06741850568070,168.4812923688430,Data
Bengaluru,405,869,3933,34686,39,3,23,2100 MHz,943.4170101740120,-75,5,11.88507992716990,581,154,12.98705891064900,77.6467644315309,12.782404624132900,50.59794834241030,Data
Bengaluru,405,864,1376,51862,31,38,105,2100 MHz,954.1404805421820,-71,2,28.076346254666000,158,1397,12.910424712668500,77.61011699568690,13.602846067794200,248.18958497630300,Data
Bengaluru,405,864,7699,29368,27,32,86,2100 MHz,948.0595376960700,-70,6,2.0449760206567900,649,505,12.918168756505600,77.51793392465690,15.08709826764540,265.0516947065080,Data
Bengaluru,405,872,7280,57569,38,35,36,1800 MHz,945.8619207167990,-106,1,23.217444727791900,78,1685,13.043643377448000,77.51905800436190,3.640700273064500,108.4365953705640,Data
Bengaluru,405,868,2243,72969,29,4,107,2100 MHz,945.2503392940670,-75,0,16.601276978065000,861,766,13.056375657312500,77.5567869301964,4.179998341259320,13.224328614077900,Voice
Bengaluru,405,866,2368,74134,10,28,5,2100 MHz,949.028587449098,-84,6,11.45888137270840,812,982,12.92796352566250,77.67465919821850,14.020528677175100,163.9478646452900,Voice
Bengaluru,405,871,5779,41440,32,18,51,1800 MHz,938.3049507100310,-107,3,22.915017139507500,690,1898,13.013704366330000,77.5772100068791,2.0195376107972600,55.25571122306340,Voice
Bengaluru,405,869,8356,66451,16,5,55,1800 MHz,940.6744286903230,-56,1,28.776235483209900,943,1634,12.946456990639600,77.64215201341870,9.470184742693250,246.23489243163000,Voice
Bengaluru,405,869,6810,90200,21,38,14,1800 MHz,950.1129847084450,-54,3,14.362782071735200,555,1527,13.050436032787200,77.51779253783060,18.51999338228320,26.983582193693800,WiFi
Bengaluru,405,862,3678,22473,17,9,119,2100 MHz,939.3535375203760,-54,3,4.928451701977960,577,250,13.00768752828660,77.69321827310160,18.379192930138100,98.06921002899300,Voice
Bengaluru,405,864,8466,85444,38,56,59,900 MHz,959.9904996297910,-97,3,3.1861206861912700,624,1111,13.014269314997900,77.52096112840780,18.77302290216000,76.16629796157890,Voice
Bengaluru,405,867,2443,52551,47,5,101,900 MHz,957.194987429468,-86,0,7.564627289635180,616,150,13.007892351493300,77.57982621930280,4.718368847291420,210.11040218612900,Data
Bengaluru,405,866,8203,41857,23,39,38,2100 MHz,944.0052127365060,-108,3,3.201379080600550,194,1422,12.95245135461620,77.57213597586500,1.1516762970212200,125.72807744336100,Data
Bengaluru,405,865,7853,99136,48,38,39,900 MHz,937.976746460132,-51,1,27.711185625725900,588,1002,12.914404796187300,77.5276954453168,2.4513486074854200,129.16385819888700,WiFi
Bengaluru,405,864,3601,66709,27,59,60,900 MHz,953.8294616703830,-56,5,4.404985172079480,364,809,12.976532383644800,77.55715611730320,7.586582756737320,98.9135618879884,Voice
Bengaluru,405,874,8810,33459,12,1,28,900 MHz,959.7017676239970,-104,0,0.7281658671310330,413,1714,12.964603728600600,77.497560179272,14.227701868149100,228.00658047486500,Data
